,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
142,-0.19818211700483324,0.0997188557803285,0.3454794370741776,0.07256959187404993,96,1,1.0,302.0,1.0,3.1,4.166666666666667,-0.320256307610174,-0.25
143,0.008648035065045228,0.060665960863503135,-0.044740472077039864,-0.0005361042262999223,96,2,8.0,379.0,1.0,2.8,4.0,0.612372435695795,0.2
144,-0.018566174251751062,-0.012672488319760415,-0.11685306991053541,-0.032814790104936355,96,3,7.0,279.0,0.0,3.0,4.166666666666667,0.666666666666667,0.632455532033676
145,0.1628467449424252,-0.06944489720563518,-0.003755394040178946,0.221158928771466,97,1,11.0,822.0,1.0,3.3,3.75,0.490098029409803,0.755928946018454
146,-0.03878827181002311,0.036189487971075525,0.10650916083716895,-0.02851851318150846,97,3,11.0,323.0,0.0,4.5,4.083333333333333,0.408248290463863,0.797724035217466
147,0.012844604762602966,0.033461756269627045,-0.031154246443248185,0.0005803486322994469,98,1,5.0,455.0,1.0,2.8,3.8333333333333335,-0.218217890235992,0.0
148,-0.004177095932752244,-0.037724582986889896,-0.0038444773023128087,-0.017116177919336995,98,2,6.0,700.0,1.0,3.3,4.0,0.612372435695795,0.654653670707977
151,0.03503872256399743,-0.03830142800811353,0.11512900744531514,-0.0044831399190688554,99,3,6.0,333.0,0.0,2.8,3.8333333333333335,-0.408248290463863,-0.447213595499958
152,0.036652503504163894,-0.0639995598559716,-0.07456960538116457,0.06503782329038496,100,1,4.0,876.0,0.0,3.1,3.9166666666666665,-0.559016994374947,0.373001923296126
153,0.11466589557328644,-0.0420578768620203,0.03512089160800363,0.05838834081119821,100,2,4.0,497.0,1.0,3.5,3.9166666666666665,0.0714285714285715,0.920157538397846
154,0.0746877717816374,0.1381664105757096,-0.09691574033146366,0.017856893158062274,101,1,2.0,292.0,1.0,3.0,3.3333333333333335,0.408248290463863,0.372104203767625
158,-0.10186397295980493,-0.010213048103135568,-0.06926791920594175,-0.07496923787511589,103,1,10.0,564.0,1.0,4.5,4.166666666666667,0.25,0.647058823529412
163,0.0026241166633933226,-0.028121622033834674,0.0053450829161352555,-0.0292068728091235,106,1,9.0,515.0,1.0,3.2,2.8333333333333335,-0.327326835353989,0.175411603861406
164,0.05403092702922399,0.010085091254488907,0.018463925670149456,0.08908082996251748,106,2,7.0,389.0,0.0,2.8,3.8333333333333335,-0.559016994374947,-0.746202507244637
166,0.1504352955752281,0.06667805481739143,-0.1832689695001587,0.23994553133055177,107,1,4.0,933.0,1.0,3.7,3.0833333333333335,0.612372435695795,-0.87831006565368
167,0.022064696989828,-0.10194673161651167,-0.028032302687438733,0.05783972359687145,107,2,9.0,504.0,1.0,4.2,3.9166666666666665,-0.25,0.2
171,-0.17399466437023442,0.011341492011066335,0.07380682838140888,-0.169922028266872,110,1,5.0,791.0,1.0,3.9,4.166666666666667,0.790569415042095,0.447213595499958
172,0.048031579628808,-0.0641187487339399,-0.04605721077660419,0.02143096915924049,110,2,3.0,606.0,0.0,3.8,4.083333333333333,-0.133630620956212,0.316227766016838
174,-0.1247076358132837,-0.09567557900405517,-0.12940741891219124,0.028117199368610707,111,2,3.0,224.0,1.0,3.2,3.3333333333333335,0.666666666666667,0.426401432711221
175,-0.019127757046812646,0.09143089072017084,0.09287879010149787,-0.09879159276343076,112,1,5.0,378.0,0.0,3.1,4.5,0.243975018237133,0.790569415042095
176,0.0531048038161788,-0.10641310706526298,0.10528505784101641,-0.08044127190068276,112,2,8.0,299.0,0.0,3.8,4.166666666666667,0.645497224367903,0.635708491746199
177,0.11896383229803538,-0.06713663996330682,-0.23475304315989334,-0.1467663705409594,113,1,2.0,570.0,1.0,3.6,3.9166666666666665,0.612372435695795,-0.462910049886276
180,-0.03323565396831408,0.21184762494988865,-0.20231036437171823,-0.0716423340818855,114,1,0.0,533.0,1.0,3.5,3.8333333333333335,-0.642857142857143,-0.29277002188456
181,-0.05625096809689215,-0.03344823771894749,-0.06893519067254056,-0.02443176778898001,114,2,0.0,206.0,0.0,3.7,3.6666666666666665,-0.25,0.349215147884789
182,-0.0021348065236314485,-0.09930222766308026,-0.2839861127744826,0.11346110483678538,114,3,2.0,298.0,0.0,4.1,3.75,-0.872871560943969,0.552157630374233
183,-0.023426277545477794,-0.006098655033469511,0.006450565463033338,-0.011932419325090973,115,1,6.0,775.0,1.0,3.6,3.1666666666666665,0.166666666666667,0.447213595499958
184,0.010335504787569604,-0.0885413086665661,-0.039044023401279854,-0.010368821117790108,115,2,6.0,426.0,1.0,3.5,3.5,0.801783725737273,0.0
186,-0.12552170949455535,0.1110299353517473,-0.03459237063204876,0.07857582517878471,116,3,8.0,233.0,1.0,4.3,4.083333333333333,-0.133630620956212,0.969861226038888
187,-0.0006197621977410081,0.06519173604804647,-0.01629959518344793,0.012110871261539648,117,1,11.0,699.0,1.0,4.6,4.083333333333333,0.166666666666667,0.632455532033676
190,-0.05498568580782665,-0.009325159593410928,0.09499656683258376,0.06370540257061545,118,1,0.0,189.0,1.0,3.0,3.5,-1.0,-0.0790569415042095
