,TP9,AF7,AF8,TP10,subj,ses,Performance,Time (sec),Signal Drop,affective_trust,cognitive_trust,affecttrust_corr,cognitivetrust_corr
77,0.007885784674282834,-0.016699079109304963,0.025211825086656005,0.007289040957804604,50,2,5.0,288.0,0.0,3.1,4.333333333333333,-0.298807152333598,0.29277002188456
78,0.015261711175827546,-0.03936560191876596,-0.05970484702283004,0.00025269216497226415,50,3,3.0,274.0,0.0,2.9,4.25,0.102062072615966,0.54232614454664
80,0.1021662861602008,0.1321470962423182,0.029811068390757735,-0.0573935180709411,53,2,11.0,319.0,0.0,4.0,4.083333333333333,0.25,0.316227766016838
81,-0.06395764889218411,-0.22153132224911168,0.315523743443952,0.029763023898220643,53,3,10.0,298.0,0.0,4.1,3.5833333333333335,0.408248290463863,0.61394061351492
83,-0.0038570083032493426,-0.01542778040523416,0.011050164618404478,-0.004384073541921371,54,2,6.0,546.0,1.0,4.5,4.416666666666667,0.25,0.0
84,0.01635947469474256,-0.03572923187552352,0.01169059197194816,-0.040044841098581974,54,3,7.0,239.0,0.0,4.5,4.166666666666667,-1.0,-0.468521285665818
86,0.0023923555273421757,0.007537328890309213,0.007879729353694943,0.0024837543877334247,58,1,4.0,528.0,0.0,3.2,4.0,-0.790569415042095,-0.478091443733757
87,-0.09360779593835901,0.02118962571958344,-0.010749836167876352,0.040766301748477965,58,2,3.0,264.0,0.0,4.2,4.25,0.612372435695795,0.0
89,0.10369029681721484,-0.09384274056640335,-0.17636575010862693,0.18218694068004637,59,1,9.0,377.0,1.0,4.2,4.333333333333333,0.612372435695795,0.793884186037445
92,0.07768452080394407,-0.04593098761899832,0.07385743674396571,0.0073308875411464275,63,2,5.0,430.0,0.0,3.5,4.166666666666667,-0.166666666666667,0.0857492925712544
95,0.17614318011816663,-0.04003945689013854,-0.04842161557989032,-0.0026877305491504852,66,2,11.0,665.0,1.0,4.6,4.25,0.875,0.941763218696022
97,-0.0682748771965255,0.019255214772520908,-0.05941740414555043,-0.032439976218693566,67,1,11.0,553.0,1.0,4.2,4.25,0.560112033611204,0.759256602365297
98,0.020850736041021445,-0.09872676931175495,-0.1001644416814535,-0.08796849705459989,67,2,11.0,240.0,0.0,4.3,4.166666666666667,0.77174363314129,0.774596669241483
