,TP9,AF7,AF8,TP10,subj,ses,Unnamed: 0,Performance,Time_Sec,Signal Drop
99,-0.013503154684583367,-0.05725555695234709,0.010825622619350111,-0.0007302074510747758,73,3,41.0,7.0,225.0,0.0
100,0.027008749344403223,-0.016429769991237398,0.00967011707846234,0.02513876427037282,74,1,42.0,2.0,596.0,0.0
101,0.010320869443335039,0.03127880675945209,0.16349230022652828,-0.02338690311506367,74,2,43.0,3.0,746.0,1.0
102,-0.0028321435321873928,-0.027245100059340173,0.0006629915188685048,0.021828225308569944,74,3,44.0,0.0,397.0,0.0
103,0.010771463286467947,0.02267952870413636,0.008873688464891777,0.04698844664740265,75,1,45.0,9.0,417.0,0.0
104,0.015168295719019618,-0.04779900434369825,-0.009568779671179186,0.00586744626134748,75,3,47.0,10.0,201.0,0.0
105,-0.11353044974047156,-0.15181993261179197,0.21468552646832748,0.0695216673240481,77,1,50.0,10.0,756.0,1.0
106,0.027373307835197182,0.02370601682297129,0.00944564466608416,0.002452934974116707,77,2,51.0,11.0,591.0,0.0
107,0.07407948583067367,-0.07020940955624619,0.15712158239524854,0.1292769282373777,77,3,52.0,11.0,295.0,1.0
110,0.044373203152711094,-0.026368998767554816,-0.05291398000841182,0.031332527739760044,80,2,53.0,0.0,242.0,1.0
111,-0.004727931915546592,0.11419958145195763,0.010415569042376966,-0.00961876840414217,81,1,55.0,1.0,721.0,1.0
112,0.044020865499623814,-0.031543515903501865,-0.005473808332964247,-0.0003579736365050164,81,2,56.0,7.0,485.0,0.0
113,0.0018116241832457432,-0.00243004344002829,-0.03634684780789259,-0.019902763930924126,82,1,58.0,9.0,387.0,1.0
114,-0.07290011353347324,-0.03096743076047989,-0.06302277806975772,-0.03542532101650544,83,1,61.0,1.0,451.0,1.0
115,0.3368555119343635,0.3073855314571367,0.3904816952767096,0.3155261361236709,83,2,62.0,8.0,327.0,1.0
116,-0.009735663295592244,-0.0035861255635762485,0.013595118562533303,-0.0023894849057398693,84,1,64.0,1.0,444.0,0.0
117,-0.009972952851912862,0.03357380923345966,0.003917075866220891,-0.013287271426643085,86,1,67.0,3.0,417.0,1.0
118,0.02725638788655336,-0.05488667625956275,-0.032275300404915476,0.026132158188075648,86,3,69.0,1.0,305.0,0.0
119,-0.022439962551156968,0.03543166705383222,0.01639067896176584,-0.01651951215257552,87,1,70.0,0.0,498.0,1.0
120,0.019850563980121298,0.012867641890482208,-0.015411430657759535,0.015431709397476342,87,2,71.0,7.0,758.0,1.0
